condition,label,seed,seed_idx,iteration,best_fitness,best_test_accuracy,child_train_accuracy,child_test_accuracy,archive_size,meta_focus_metric,meta_weight_step,meta_threshold_step,meta_exploration_scale,mutation_source,mode
hyperagent,HyperAgent (full system),46,3,1,0.8,0.9,0.8,0.9,2,security,0.115,0.075,0.16,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,2,0.8,0.9,0.8,0.9,3,security,0.115,0.075,0.16,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,3,0.8,0.9,0.65,0.8,4,security,0.11,0.08,0.21,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,4,0.85,0.9,0.85,0.9,5,security,0.105,0.085,0.19,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,5,0.85,0.9,0.65,0.8,6,security,0.11,0.08,0.21,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,6,0.85,0.9,0.85,0.9,7,security,0.105,0.085,0.19,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,7,0.85,0.9,0.8,0.9,8,security,0.1,0.09,0.24,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,8,0.85,0.9,0.8,0.9,9,security,0.095,0.095,0.29,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,9,0.85,0.9,0.8,0.9,10,security,0.115,0.075,0.16,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,10,0.85,0.9,0.8,0.9,11,security,0.115,0.075,0.16,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,11,0.85,0.9,0.85,0.9,12,security,0.105,0.085,0.19,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,12,0.85,0.9,0.65,0.8,13,security,0.11,0.08,0.21,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,13,0.85,0.9,0.65,0.8,14,security,0.11,0.08,0.21,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,14,0.85,0.9,0.65,0.8,15,security,0.11,0.08,0.21,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,15,0.85,0.9,0.85,0.9,16,security,0.105,0.085,0.19,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,16,0.85,0.9,0.75,0.9,17,security,0.09,0.1,0.34,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,17,0.85,0.9,0.75,0.9,18,security,0.085,0.105,0.39,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,18,0.85,0.9,0.65,0.8,19,security,0.08,0.11,0.44,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,19,0.85,0.9,0.65,0.8,20,security,0.11,0.08,0.21,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,20,0.85,0.9,0.85,0.9,21,security,0.105,0.085,0.19,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,21,0.85,0.9,0.65,0.8,22,security,0.11,0.08,0.21,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,22,0.85,0.9,0.85,0.9,23,security,0.105,0.085,0.19,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,23,0.85,0.9,0.75,0.9,24,security,0.1,0.09,0.24,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,24,0.85,0.9,0.65,0.8,25,security,0.11,0.08,0.21,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,25,0.85,0.9,0.85,0.9,26,security,0.075,0.115,0.42,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,26,0.85,0.9,0.85,0.9,27,security,0.105,0.085,0.19,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,27,0.85,0.9,0.85,0.9,28,security,0.105,0.085,0.19,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,28,0.85,0.9,0.8,0.9,29,security,0.1,0.09,0.24,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,29,0.85,0.9,0.75,0.9,30,security,0.1,0.09,0.24,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,30,0.85,0.9,0.75,0.8,31,security,0.095,0.095,0.29,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,31,0.85,0.9,0.75,0.8,32,security,0.09,0.1,0.34,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,32,0.85,0.9,0.85,0.9,33,security,0.105,0.085,0.19,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,33,0.85,0.9,0.85,0.9,34,security,0.105,0.085,0.19,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,34,0.85,0.9,0.65,0.8,35,security,0.11,0.08,0.21,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,35,0.85,0.9,0.85,0.9,36,security,0.105,0.085,0.19,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,36,0.85,0.9,0.7,0.8,37,security,0.085,0.105,0.39,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,37,0.85,0.9,0.75,0.9,38,security,0.095,0.095,0.29,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,38,0.85,0.9,0.85,0.9,39,security,0.105,0.085,0.19,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,39,0.85,0.9,0.7,0.8,40,security,0.09,0.1,0.34,heuristic,hyperagent
hyperagent,HyperAgent (full system),46,3,40,0.85,0.9,0.75,0.8,41,security,0.09,0.1,0.34,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,0,0.65,0.8,0.65,0.8,1,security,0.12,0.07,0.18,seed,hyperagent
hyperagent,HyperAgent (full system),59,4,1,0.8,0.9,0.8,0.9,2,security,0.115,0.075,0.16,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,2,0.8,0.9,0.65,0.8,3,security,0.11,0.08,0.21,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,3,0.85,0.9,0.85,0.9,4,security,0.105,0.085,0.19,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,4,0.85,0.9,0.8,0.9,5,security,0.115,0.075,0.16,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,5,0.85,0.9,0.65,0.8,6,security,0.11,0.08,0.21,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,6,0.85,0.9,0.65,0.8,7,security,0.11,0.08,0.21,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,7,0.85,0.9,0.65,0.8,8,security,0.11,0.08,0.21,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,8,0.85,0.9,0.8,0.9,9,security,0.115,0.075,0.16,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,9,0.85,0.9,0.85,0.9,10,security,0.105,0.085,0.19,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,10,0.85,0.9,0.8,0.9,11,security,0.1,0.09,0.24,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,11,0.85,0.9,0.8,0.9,12,security,0.1,0.09,0.24,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,12,0.85,0.9,0.85,0.9,13,security,0.105,0.085,0.19,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,13,0.85,0.9,0.75,0.9,14,security,0.095,0.095,0.29,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,14,0.85,0.9,0.75,0.9,15,security,0.095,0.095,0.29,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,15,0.85,0.9,0.85,0.9,16,security,0.105,0.085,0.19,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,16,0.85,0.9,0.75,0.9,17,security,0.095,0.095,0.29,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,17,0.85,0.9,0.75,0.9,18,security,0.09,0.1,0.34,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,18,0.85,0.9,0.75,0.8,19,security,0.09,0.1,0.34,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,19,0.85,0.9,0.7,0.8,20,security,0.085,0.105,0.39,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,20,0.85,0.9,0.85,0.9,21,security,0.105,0.085,0.19,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,21,0.85,0.9,0.75,0.8,22,security,0.09,0.1,0.34,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,22,0.85,0.9,0.65,0.8,23,security,0.085,0.105,0.39,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,23,0.85,0.9,0.85,0.9,24,security,0.105,0.085,0.19,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,24,0.85,0.9,0.65,0.8,25,security,0.11,0.08,0.21,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,25,0.85,0.9,0.8,0.9,26,security,0.08,0.1,0.37,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,26,0.85,0.9,0.8,0.9,27,security,0.1,0.09,0.24,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,27,0.85,0.9,0.75,0.9,28,security,0.095,0.095,0.29,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,28,0.85,0.9,0.65,0.8,29,security,0.11,0.08,0.21,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,29,0.85,0.9,0.8,0.9,30,security,0.1,0.09,0.24,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,30,0.85,0.9,0.65,0.8,31,security,0.085,0.105,0.39,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,31,0.85,0.9,0.75,0.9,32,security,0.095,0.095,0.29,heuristic,hyperagent
hyperagent,HyperAgent (full system),59,4,32,0.85,0.9,0.7,0.8,33,security,0.085,0.105,0.39,heuristic,hyperagent
